igsn,campaign,kit_id,transect_location,Fe_ug_g
IEEXG001N,EC1,K004,upland,3526.8
IEEXG001Q,EC1,K004,transition,4137.45
IEEXG001K,EC1,K004,wetland,5863.2
IEEXG003F,EC1,K008,upland,704.26
IEEXG003I,EC1,K008,transition,1451.5
IEEXG003C,EC1,K008,wetland,5769.18
IEEXG003V,EC1,K009,upland,1103.37
IEEXG003Y,EC1,K009,transition,3967.2
IEEXG003S,EC1,K009,wetland,5688.2
IEEXG004B,EC1,K010,upland,954.16
IEEXG004E,EC1,K010,transition,2365.76
IEEXG0048,EC1,K010,wetland,5579.51
IEEXG004R,EC1,K011,upland,1160.2
IEEXG004U,EC1,K011,transition,2067.86
IEEXG004O,EC1,K011,wetland,5474.85
IEEXG0054,EC1,K012,wetland,2149.9
IEEXG005N,EC1,K013,upland,140.4
IEEXG005Q,EC1,K013,transition,2075.2
IEEXG0060,EC1,K014,wetland,525.61
IEEXG006J,EC1,K015,upland,635.86
IEEXG006M,EC1,K015,transition,4856.4
IEEXG006G,EC1,K015,wetland,1447.35
IEEXG006Z,EC1,K016,upland,277.96
IEEXG0072,EC1,K016,transition,989.5
IEEXG006W,EC1,K016,wetland,5570.31
IEEXG007F,EC1,K017,upland,397.96
IEEXG007I,EC1,K017,transition,2185.7
IEEXG007C,EC1,K017,wetland,1438.98
IEEXG008B,EC1,K019,upland,1076.34
IEEXG008E,EC1,K019,transition,3991.31
IEEXG0088,EC1,K019,wetland,1070.51
IEEXG008R,EC1,K020,upland,3317.58
IEEXG0097,EC1,K021,upland,1453.6
IEEXG009A,EC1,K021,transition,5851.7
IEEXG0094,EC1,K021,wetland,5760.41
IEEXG009N,EC1,K022,upland,5504.39
IEEXG009Q,EC1,K022,transition,1464.29
IEEXG009K,EC1,K022,wetland,1375.1
IEEXG00A3,EC1,K023,upland,737.1
IEEXG00A0,EC1,K023,wetland,1333.47
IEEXG00AJ,EC1,K024,upland,1000.92
IEEXG00AM,EC1,K024,transition,5728.42
IEEXG00AG,EC1,K024,wetland,336.2
IEEXG00AZ,EC1,K025,upland,1984.75
IEEXG00B2,EC1,K025,transition,5834.5
IEEXG00AW,EC1,K025,wetland,5921.33
IEEXG00BF,EC1,K026,upland,306.97
IEEXG00BI,EC1,K026,transition,732.67
IEEXG00BC,EC1,K026,wetland,2275.96
IEEXG00CU,EC1,K029,transition,1394.69
IEEXG00CO,EC1,K029,wetland,5275.3
IEEXG00D7,EC1,K030,upland,237.55
IEEXG00D4,EC1,K030,wetland,5943.5
IEEXG00EJ,EC1,K033,upland,662.5
IEEXG00EG,EC1,K033,wetland,3085.74
IEEXG00EZ,EC1,K034,upland,1513.84
IEEXG00F2,EC1,K034,transition,1470.1
IEEXG00EW,EC1,K034,wetland,5933.06
IEEXG00FF,EC1,K035,upland,1346.33
IEEXG00FI,EC1,K035,transition,3125.2
IEEXG00FC,EC1,K035,wetland,5212.63
IEEXG00FV,EC1,K036,upland,1389.5
IEEXG00FY,EC1,K036,transition,1386.22
IEEXG00FS,EC1,K036,wetland,1266.02
IEEXG00G8,EC1,K037,wetland,5777.47
IEEXG00GR,EC1,K038,upland,758.99
IEEXG00GO,EC1,K038,wetland,5936.87
IEEXG00H7,EC1,K039,upland,340.69
IEEXG00HN,EC1,K040,upland,275.18
IEEXG00HQ,EC1,K040,transition,1265
IEEXG00HK,EC1,K040,wetland,3435
IEEXG00I3,EC1,K041,upland,188.78
IEEXG00I6,EC1,K041,transition,1418.5
IEEXG00I0,EC1,K041,wetland,920.88
IEEXG00IJ,EC1,K042,upland,4155.34
IEEXG00IM,EC1,K042,transition,7447.22
IEEXG00IG,EC1,K042,wetland,6635
IEEXG00JF,EC1,K044,upland,704.8
IEEXG00JC,EC1,K044,wetland,5642.3
IEEXG00JV,EC1,K045,upland,1103.27
IEEXG00JY,EC1,K045,transition,1199.4
IEEXG00JS,EC1,K045,wetland,1186.9
IEEXG00KB,EC1,K046,upland,5402.42
IEEXG00K8,EC1,K046,wetland,5762.8
IEEXG00KR,EC1,K047,upland,1416.77
IEEXG00KU,EC1,K047,transition,5451.68
IEEXG00LA,EC1,K048,transition,6739.29
IEEXG00L4,EC1,K048,wetland,6184.5
IEEXG00LN,EC1,K049,upland,101.7
IEEXG00LQ,EC1,K049,transition,352.84
IEEXG00LK,EC1,K049,wetland,333.14
IEEXG00M6,EC1,K050,transition,3253.37
IEEXG00M0,EC1,K050,wetland,1346.12
IEEXG00MJ,EC1,K051,upland,1992.28
IEEXG00MM,EC1,K051,transition,1068.06
IEEXG00MG,EC1,K051,wetland,1564.7
IEEXG00MZ,EC1,K052,upland,1041.86
IEEXG00N2,EC1,K052,transition,1357.52
IEEXG00NF,EC1,K053,upland,1971.72
IEEXG00NI,EC1,K053,transition,4489.3
IEEXG00NC,EC1,K053,wetland,1287.25
IEEXG00NV,EC1,K054,upland,826.73
IEEXG00NY,EC1,K054,transition,386.37
IEEXG00NS,EC1,K054,wetland,1315.69
IEEXG00OB,EC1,K055,upland,353.47
IEEXG00OR,EC1,K056,upland,627.17
IEEXG00OU,EC1,K056,transition,1022.73
IEEXG00OO,EC1,K056,wetland,1083.67
IEEXG00PN,EC1,K058,upland,181.37
IEEXG00PQ,EC1,K058,transition,985.2
IEEXG00PK,EC1,K058,wetland,4254.95
IEEXG00QZ,EC1,K061,upland,1186.84
IEEXG00R2,EC1,K061,transition,1842.73
IEEXG00QW,EC1,K061,wetland,5109.41
IEEXG00RF,EC1,K062,upland,877.35
IEEXG00RI,EC1,K062,transition,5614.85
IEEXG00RC,EC1,K062,wetland,5703.47
