igsn,campaign,kit_id,transect_location,percent_clay,percent_sand,percent_silt
IEEXG001S,EC1,K004,transition,1.46,10.27,88.27
IEEXG001P,EC1,K004,upland,5.55,12.88,81.57
IEEXG003H,EC1,K008,upland,10.49,51.89,37.62
IEEXG003E,EC1,K008,wetland,11.86,46.48,41.66
IEEXG003X,EC1,K009,upland,3.98,35.05,60.97
IEEXG003U,EC1,K009,wetland,4.72,15.96,79.31
IEEXG004D,EC1,K010,upland,0.81,29.27,69.92
IEEXG004A,EC1,K010,wetland,7.28,13.84,78.88
IEEXG004W,EC1,K011,transition,3.67,17.23,79.09
IEEXG004T,EC1,K011,upland,11.27,19.74,68.98
IEEXG0056,EC1,K012,wetland,5.92,78.17,15.91
IEEXG005P,EC1,K013,upland,4.36,87.89,7.75
IEEXG006O,EC1,K015,transition,8.06,88.78,3.16
IEEXG006L,EC1,K015,upland,5.58,84.27,10.15
IEEXG0074,EC1,K016,transition,3.83,67.01,29.17
IEEXG007K,EC1,K017,transition,7.31,72.83,19.86
IEEXG007H,EC1,K017,upland,5.32,73.48,21.2
IEEXG007E,EC1,K017,wetland,9.38,22.56,68.06
IEEXG008G,EC1,K019,transition,7.31,58.16,34.52
IEEXG008D,EC1,K019,upland,12.75,64.79,22.46
IEEXG008A,EC1,K019,wetland,5.91,89.53,4.55
IEEXG008T,EC1,K020,upland,14.68,40.43,44.89
IEEXG009C,EC1,K021,transition,17.66,14.04,68.3
IEEXG0099,EC1,K021,upland,10.77,20.49,68.74
IEEXG009P,EC1,K022,upland,36.17,5.84,57.99
IEEXG00A5,EC1,K023,upland,13.25,80.17,6.58
IEEXG00B4,EC1,K025,transition,11.02,28.96,60.02
IEEXG00B1,EC1,K025,upland,12.51,55.22,32.27
IEEXG00AY,EC1,K025,wetland,26.2,40.17,33.62
IEEXG00BK,EC1,K026,transition,7.42,45.87,46.71
IEEXG00BH,EC1,K026,upland,4.32,73.42,22.25
IEEXG00C0,EC1,K027,transition,6.42,51.8,41.78
IEEXG00BX,EC1,K027,upland,8.84,49.97,41.19
IEEXG00CT,EC1,K029,upland,22.05,77.56,0.4
IEEXG00D7,EC1,K030,upland,16.68,59.39,23.93
IEEXG00D6,EC1,K030,wetland,40.66,6.41,52.93
IEEXG00EL,EC1,K033,upland,4.31,88.77,6.92
IEEXG00EI,EC1,K033,wetland,4.71,69.31,25.98
IEEXG00F1,EC1,K034,upland,9.3,65.18,25.52
IEEXG00FH,EC1,K035,upland,4.89,40.7,54.41
IEEXG00FY,EC1,K036,transition,22.63,45.68,31.69
IEEXG00FV,EC1,K036,upland,17.9,63.12,18.98
IEEXG00GA,EC1,K037,wetland,8.08,32.11,59.81
IEEXG00GT,EC1,K038,upland,13.28,57.91,28.81
IEEXG00HA,EC1,K039,transition,25.73,53.17,21.1
IEEXG00H9,EC1,K039,upland,7.13,91.32,1.55
IEEXG00HM,EC1,K040,wetland,16.13,29.11,54.76
IEEXG00I2,EC1,K041,wetland,10.24,71.74,18.02
IEEXG00IO,EC1,K042,transition,9.4,25.03,65.58
IEEXG00IL,EC1,K042,upland,40.46,24.15,35.39
IEEXG00JH,EC1,K044,upland,8.22,58.75,33.04
IEEXG00JY,EC1,K045,transition,0.78,75.89,23.33
IEEXG00JX,EC1,K045,upland,11.27,79.56,9.17
IEEXG00KD,EC1,K046,upland,28.61,1.23,70.17
IEEXG00KW,EC1,K047,transition,4.93,81.89,13.18
IEEXG00KR,EC1,K047,upland,10.26,81.08,8.66
IEEXG00L9,EC1,K048,upland,12.54,31.25,56.21
IEEXG00LS,EC1,K049,transition,4.37,94.85,0.78
IEEXG00LP,EC1,K049,upland,2.38,95.24,2.38
IEEXG00LM,EC1,K049,wetland,3.13,94.22,2.65
IEEXG00M8,EC1,K050,transition,0.18,56.96,42.86
IEEXG00M5,EC1,K050,upland,3.72,48.6,47.67
IEEXG00ML,EC1,K051,upland,6.73,11.07,82.21
IEEXG00N4,EC1,K052,transition,10.82,47.92,41.26
IEEXG00N1,EC1,K052,upland,15.64,47.81,36.55
IEEXG00NK,EC1,K053,transition,0.6,76.38,23.02
IEEXG00NH,EC1,K053,upland,5.68,69.85,24.47
IEEXG00NX,EC1,K054,upland,12.99,57.38,29.63
IEEXG00OB,EC1,K055,upland,10.37,80.64,8.99
IEEXG00OW,EC1,K056,transition,16.76,67.23,16.01
IEEXG00OT,EC1,K056,upland,14.3,74.81,10.89
IEEXG00PQ,EC1,K058,transition,13.5,71.66,14.84
IEEXG00PN,EC1,K058,upland,12.4,72.64,14.96
IEEXG00Q5,EC1,K059,upland,5.86,8.94,85.2
IEEXG00QI,EC1,K060,wetland,27.93,19.02,53.06
IEEXG00R4,EC1,K061,transition,11.93,34.2,53.87
IEEXG00R1,EC1,K061,upland,8.11,31.04,60.84
IEEXG00QY,EC1,K061,wetland,4.17,20.91,74.92
IEEXG00RI,EC1,K062,transition,16.84,45.76,37.4
IEEXG00RH,EC1,K062,upland,21.04,28.99,49.96
