igsn,campaign,kit_id,transect_location,bulk_density_g_cm3
IEEXG001S,EC1,K004,transition,0.392857142857143
IEEXG001P,EC1,K004,upland,0.866298673378101
IEEXG001M,EC1,K004,wetland,0.28755601982412
IEEXG003K,EC1,K008,transition,0.13131067961165
IEEXG003E,EC1,K008,wetland,0.355592105263158
IEEXG003H,EC1,K008,upland,0.88818730456459
IEEXG0040,EC1,K009,transition,0.54788090951602
IEEXG003X,EC1,K009,upland,0.552136752136752
IEEXG003U,EC1,K009,wetland,0.229451062177709
IEEXG004G,EC1,K010,transition,0.755555555555556
IEEXG004D,EC1,K010,upland,0.745185185185185
IEEXG004A,EC1,K010,wetland,0.445787545787546
IEEXG004Q,EC1,K011,wetland,0.401153846153846
IEEXG004W,EC1,K011,transition,0.7071129602269
IEEXG004T,EC1,K011,upland,0.86680740558247
IEEXG0056,EC1,K012,wetland,0.691290036893292
IEEXG005S,EC1,K013,transition,0.595546270022087
IEEXG005P,EC1,K013,upland,1.03527595925139
IEEXG005M,EC1,K013,wetland,0.234243629001292
IEEXG006I,EC1,K015,wetland,0.222115761407061
IEEXG006O,EC1,K015,transition,0.940350877192983
IEEXG006L,EC1,K015,upland,0.906875408977229
IEEXG0074,EC1,K016,transition,1.23633206083692
IEEXG0071,EC1,K016,upland,0.145662100456621
IEEXG006Y,EC1,K016,wetland,0.274358974358974
IEEXG007E,EC1,K017,wetland,0.182659932659933
IEEXG007K,EC1,K017,transition,0.705405405405405
IEEXG007H,EC1,K017,upland,0.75462962962963
IEEXG008A,EC1,K019,wetland,1.56542545660582
IEEXG008G,EC1,K019,transition,1.31818181818182
IEEXG008D,EC1,K019,upland,0.489808712174362
IEEXG008T,EC1,K020,upland,0.688652482269504
IEEXG009C,EC1,K021,transition,0.282162162162162
IEEXG0099,EC1,K021,upland,0.690551181102362
IEEXG0096,EC1,K021,wetland,0.225879357799327
IEEXG009M,EC1,K022,wetland,0.382918149466192
IEEXG009S,EC1,K022,transition,0.226490066225166
IEEXG009P,EC1,K022,upland,0.724683544303797
IEEXG00A5,EC1,K023,upland,0.428378378378378
IEEXG00A2,EC1,K023,wetland,0.142082165029557
IEEXG00AO,EC1,K024,transition,0.356451612903226
IEEXG00AL,EC1,K024,upland,0.242231075697211
IEEXG00AI,EC1,K024,wetland,0.11487414187643
IEEXG00B4,EC1,K025,transition,0.406227106227106
IEEXG00B1,EC1,K025,upland,0.702459016393443
IEEXG00AY,EC1,K025,wetland,0.466068505626028
IEEXG00BK,EC1,K026,transition,0.38522164385021
IEEXG00BH,EC1,K026,upland,1.55363636363636
IEEXG00BE,EC1,K026,wetland,0.584352785801568
IEEXG00BU,EC1,K027,wetland,0.0828316610925307
IEEXG00C0,EC1,K027,transition,1.49206349206349
IEEXG00BX,EC1,K027,upland,1.47570396571836
IEEXG00D9,EC1,K030,upland,0.177367454769748
IEEXG00D6,EC1,K030,wetland,0.484569287524584
IEEXG00EI,EC1,K033,wetland,0.371818181818182
IEEXG00EL,EC1,K033,upland,0.592752127572592
IEEXG00F4,EC1,K034,transition,0.217248062015504
IEEXG00F1,EC1,K034,upland,0.907432432432432
IEEXG00EY,EC1,K034,wetland,0.329526462395543
IEEXG00FK,EC1,K035,transition,0.272191011235955
IEEXG00FH,EC1,K035,upland,0.872181522790189
IEEXG00FE,EC1,K035,wetland,0.185350318471338
IEEXG00G0,EC1,K036,transition,0.19143897996357
IEEXG00FX,EC1,K036,upland,0.210281659328587
IEEXG00FU,EC1,K036,wetland,0.194866529774127
IEEXG00GA,EC1,K037,wetland,0.286027397260274
IEEXG00GT,EC1,K038,upland,0.745901639344262
IEEXG00GQ,EC1,K038,wetland,0.27620320855615
IEEXG00H6,EC1,K039,wetland,0.0953768844221106
IEEXG00HC,EC1,K039,transition,0.129960053262317
IEEXG00H9,EC1,K039,upland,0.674050632911392
IEEXG00HP,EC1,K040,upland,0.106666666666667
IEEXG00HM,EC1,K040,wetland,0.747208121827411
IEEXG00HS,EC1,K040,transition,0.108569665494784
IEEXG00I8,EC1,K041,transition,0.102307632677666
IEEXG00I5,EC1,K041,upland,0.106389536677878
IEEXG00I2,EC1,K041,wetland,1.48211382113821
IEEXG00IL,EC1,K042,upland,0.633567318812702
IEEXG00II,EC1,K042,wetland,0.215136476426799
IEEXG00IO,EC1,K042,transition,0.186380597014925
IEEXG00JK,EC1,K044,transition,0.157803406826105
IEEXG00JH,EC1,K044,upland,0.547710773374566
IEEXG00JE,EC1,K044,wetland,0.330824372759857
IEEXG00K0,EC1,K045,transition,0.173436473086324
IEEXG00JX,EC1,K045,upland,0.347328244274809
IEEXG00JU,EC1,K045,wetland,0.108381502890173
IEEXG00KA,EC1,K046,wetland,0.259586278790373
IEEXG00KD,EC1,K046,upland,0.789303796095579
IEEXG00KQ,EC1,K047,wetland,0.0527682843472317
IEEXG00KW,EC1,K047,transition,0.862962962962963
IEEXG00KT,EC1,K047,upland,0.346428571428572
IEEXG00LC,EC1,K048,transition,0.353055823221277
IEEXG00L9,EC1,K048,upland,0.646438200343952
IEEXG00L6,EC1,K048,wetland,0.432747010713399
IEEXG00LS,EC1,K049,transition,1.3775
IEEXG00LP,EC1,K049,upland,1.736
IEEXG00LM,EC1,K049,wetland,0.949425287356322
IEEXG00M8,EC1,K050,transition,0.921686746987952
IEEXG00M2,EC1,K050,wetland,0.2146
IEEXG00MO,EC1,K051,transition,0.232530120481928
IEEXG00ML,EC1,K051,upland,1.37372881355932
IEEXG00MI,EC1,K051,wetland,0.79765625
IEEXG00N4,EC1,K052,transition,1.65107717328849
IEEXG00N1,EC1,K052,upland,1.44991379310345
IEEXG00NE,EC1,K053,wetland,0.240501043841336
IEEXG00NK,EC1,K053,transition,0.827218934911242
IEEXG00NH,EC1,K053,upland,0.993220338983051
IEEXG00O0,EC1,K054,transition,0.103170028818444
IEEXG00NX,EC1,K054,upland,0.59075595050777
IEEXG00NU,EC1,K054,wetland,0.206579459519987
IEEXG00OD,EC1,K055,upland,0.851908396946565
IEEXG00Q8,EC1,K059,transition,0.156935649921868
IEEXG00Q5,EC1,K059,upland,0.154770533307409
IEEXG00Q2,EC1,K059,wetland,0.095922344396909
IEEXG00QI,EC1,K060,wetland,0.489613682651814
IEEXG00R4,EC1,K061,transition,1.14276342716434
IEEXG00R1,EC1,K061,upland,1.13044590372292
IEEXG00QY,EC1,K061,wetland,0.70244541350952
IEEXG00RK,EC1,K062,transition,0.377591973244147
IEEXG00RH,EC1,K062,upland,0.772916666666667
IEEXG00RE,EC1,K062,wetland,0.243896713615024
