igsn,campaign,kit_id,transect_location,alpha,n,th_r,th_s
IEEXG001P,EC1,K004,upland,0.4057,1.121,0,0.416
IEEXG001S,EC1,K004,transition,0.1482,1.188,0,0.495
IEEXG001M,EC1,K004,wetland,0.0737,1.231,0,0.634
IEEXG003H,EC1,K008,upland,0.0702,1.366,0,0.441
IEEXG003K,EC1,K008,transition,0.309,1.187,0,0.816
IEEXG003E,EC1,K008,wetland,0.023,1.258,0,0.726
IEEXG003X,EC1,K009,upland,0.5,1.18,0,0.621
IEEXG0040,EC1,K009,transition,0.0103,1.294,0,0.694
IEEXG003U,EC1,K009,wetland,0.00563,1.475,0,0.537
IEEXG004D,EC1,K010,upland,0.1203,1.168,0,0.524
IEEXG004G,EC1,K010,transition,0.00568,1.275,0,0.583
IEEXG004A,EC1,K010,wetland,0.0173,1.234,0,0.724
IEEXG004T,EC1,K011,upland,0.2344,1.154,0,0.375
IEEXG004W,EC1,K011,transition,0.115,1.147,0,0.755
IEEXG004Q,EC1,K011,wetland,0.0141,1.247,0,0.696
IEEXG0056,EC1,K012,wetland,0.0138,1.444,0,0.402
IEEXG005P,EC1,K013,upland,0.0943,1.602,0,0.388
IEEXG005S,EC1,K013,transition,0.049,1.248,0,0.512
IEEXG005M,EC1,K013,wetland,0.0193,1.306,0,0.63
IEEXG006L,EC1,K015,upland,0.0337,1.37,0,0.357
IEEXG006O,EC1,K015,transition,0.0199,1.397,0,0.602
IEEXG006I,EC1,K015,wetland,0.0586,1.265,0,0.61
IEEXG0074,EC1,K016,transition,0.00294,1.467,0,0.517
IEEXG006Y,EC1,K016,wetland,0.1139,1.211,0,0.863
IEEXG007K,EC1,K017,transition,0.0134,1.289,0,0.701
IEEXG007E,EC1,K017,wetland,0.1336,1.27,0,0.782
IEEXG008D,EC1,K019,upland,0.1665,1.218,0,0.489
IEEXG008G,EC1,K019,transition,0.015,1.254,0,0.499
IEEXG008A,EC1,K019,wetland,0.0232,2.022,0,0.378
IEEXG008T,EC1,K020,upland,0.0535,1.264,0,0.735
IEEXG0099,EC1,K021,upland,0.5,1.135,0,0.213
IEEXG009C,EC1,K021,transition,0.0372,1.258,0,0.839
IEEXG0096,EC1,K021,wetland,0.0238,1.303,0,0.598
IEEXG009P,EC1,K022,upland,0.0488,1.169,0,0.713
IEEXG009S,EC1,K022,transition,0.0552,1.324,0,0.91
IEEXG009M,EC1,K022,wetland,0.0551,1.257,0,0.785
IEEXG00AL,EC1,K024,upland,0.0885,1.333,0,0.32
IEEXG00AO,EC1,K024,transition,0.0195,1.252,0,0.805
IEEXG00AI,EC1,K024,wetland,0.035,1.342,0,0.884
IEEXG00B1,EC1,K025,upland,0.0363,1.189,0,0.297
IEEXG00B4,EC1,K025,transition,0.0108,1.27,0,0.839
IEEXG00AY,EC1,K025,wetland,0.027,1.226,0,0.589
IEEXG00BH,EC1,K026,upland,0.05,1.267,0,0.401
IEEXG00BK,EC1,K026,transition,0.0149,1.596,0,0.54
IEEXG00BE,EC1,K026,wetland,0.0477,1.213,0,0.641
IEEXG00BX,EC1,K027,upland,0.00421,1.467,0,0.438
IEEXG00C0,EC1,K027,transition,0.00496,1.148,0,0.417
IEEXG00BU,EC1,K027,wetland,0.177,1.298,0,0.567
IEEXG00CT,EC1,K029,upland,0.1557,1.171,0,0.746
IEEXG00CW,EC1,K029,transition,0.0292,1.243,0,0.59
IEEXG00CQ,EC1,K029,wetland,0.0205,1.258,0,0.571
IEEXG00D9,EC1,K030,upland,0.3649,1.326,0,0.482
IEEXG00EL,EC1,K033,upland,0.142,1.388,0,0.543
IEEXG00EI,EC1,K033,wetland,0.017,1.326,0,0.711
IEEXG00F1,EC1,K034,upland,0.0138,1.283,0,0.559
IEEXG00F4,EC1,K034,transition,0.0544,1.271,0,0.818
IEEXG00FH,EC1,K035,upland,0.1979,1.148,0,0.496
IEEXG00FK,EC1,K035,transition,0.0133,1.309,0,0.739
IEEXG00FE,EC1,K035,wetland,0.0128,1.296,0,0.744
IEEXG00G0,EC1,K036,transition,0.094,1.226,0,0.499
IEEXG00FU,EC1,K036,wetland,0.0258,1.19,0,0.607
IEEXG00GT,EC1,K038,upland,0.0228,1.189,0,0.16
IEEXG00GQ,EC1,K038,wetland,0.0289,1.233,0,0.733
IEEXG00H9,EC1,K039,upland,0.0695,1.565,0,0.732
IEEXG00HC,EC1,K039,transition,0.0134,1.38,0,0.892
IEEXG00HP,EC1,K040,upland,0.1829,1.261,0,0.451
IEEXG00HS,EC1,K040,transition,0.0329,1.323,0,0.637
IEEXG00HM,EC1,K040,wetland,0.0122,1.21,0,0.694
IEEXG00I2,EC1,K041,wetland,0.0175,1.736,0,0.244
IEEXG00IL,EC1,K042,upland,0.1929,1.186,0,0.501
IEEXG00II,EC1,K042,wetland,0.0054,1.421,0,0.576
IEEXG00JH,EC1,K044,upland,0.0837,1.302,0,0.365
IEEXG00JK,EC1,K044,transition,0.0243,1.288,0,0.861
IEEXG00JE,EC1,K044,wetland,0.0266,1.253,0,0.665
IEEXG00JX,EC1,K045,upland,0.0714,1.2,0,0.864
IEEXG00K0,EC1,K045,transition,0.0243,1.293,0,0.764
IEEXG00JU,EC1,K045,wetland,0.031,1.287,0,0.534
IEEXG00KA,EC1,K046,wetland,0.1737,1.226,0,0.339
IEEXG00KT,EC1,K047,upland,0.0368,1.439,0,0.757
IEEXG00KW,EC1,K047,transition,0.0277,1.293,0,0.635
IEEXG00L9,EC1,K048,upland,0.123,1.222,0,0.512
IEEXG00LP,EC1,K049,upland,0.0385,6.333,0,0.434
IEEXG00LS,EC1,K049,transition,0.0365,2.86,0,0.353
IEEXG00LM,EC1,K049,wetland,0.0306,1.783,0,0.625
IEEXG00M8,EC1,K050,transition,0.00423,1.333,0,0.581
IEEXG00M2,EC1,K050,wetland,0.00923,1.185,0,0.852
IEEXG00ML,EC1,K051,upland,0.0046,1.44,0,0.401
IEEXG00MO,EC1,K051,transition,0.0503,1.236,0,0.871
IEEXG00MI,EC1,K051,wetland,0.0245,1.31,0,0.909
IEEXG00N4,EC1,K052,transition,0.0102,1.262,0,0.368
IEEXG00NH,EC1,K053,upland,0.1829,1.202,0,0.714
IEEXG00NE,EC1,K053,wetland,0.0201,1.273,0,0.757
IEEXG00NX,EC1,K054,upland,0.0828,1.211,0,0.314
IEEXG00O0,EC1,K054,transition,0.1867,1.247,0,0.503
IEEXG00NU,EC1,K054,wetland,0.0289,1.673,0,0.462
IEEXG00OT,EC1,K056,upland,0.0837,1.247,0,0.26
IEEXG00OW,EC1,K056,transition,0.025,1.242,0,0.519
IEEXG00OQ,EC1,K056,wetland,0.0606,1.25,0,0.662
IEEXG00PP,EC1,K058,upland,0.1492,1.378,0,0.679
IEEXG00PM,EC1,K058,wetland,0.0156,1.344,0,0.658
IEEXG00Q5,EC1,K059,upland,0.1691,1.33,0,0.488
IEEXG00Q8,EC1,K059,transition,0.0279,1.482,0,0.795
IEEXG00Q2,EC1,K059,wetland,0.0926,1.331,0,0.322
IEEXG00R4,EC1,K061,transition,0.00552,1.351,0,0.341
IEEXG00QY,EC1,K061,wetland,0.00493,1.449,0,0.413
IEEXG00RH,EC1,K062,upland,0.0427,1.153,0,0.497
IEEXG00RK,EC1,K062,transition,0.00871,1.319,0,0.78
IEEXG00RE,EC1,K062,wetland,0.0163,1.3,0,0.861
