"Predictor","Estimate","Std.Error","t.value","P.Value","Std.Beta","VIF","R2","F_value","F_p_value","Region"
"std_bulk_density_g_cm3",-5.13633642365343,1.03212402131876,-4.97647212695494,8.37900319275356e-05,5.13633642365343,NA,0.601747311244944,4.78473392918547,0.00394044032277188,"Great Lakes"
"std_percent_sand",1.93677308421387,0.883124388985914,2.19309205856929,0.0409471065309894,1.93677308421387,NA,0.601747311244944,4.78473392918547,0.00394044032277188,"Great Lakes"
"std_ph",0.812711998550584,0.852587660230142,0.953229839534865,0.352444335936049,0.812711998550584,NA,0.601747311244944,4.78473392918547,0.00394044032277188,"Great Lakes"
"std_K_meq_100g",-0.506965610536455,0.975575878508826,-0.519657795671778,0.609303609400577,0.506965610536455,NA,0.601747311244944,4.78473392918547,0.00394044032277188,"Great Lakes"
"transect_locationupland",-0.552392705977357,1.87321886293304,-0.294889570518436,0.771276235049075,0.552392705977357,NA,0.601747311244944,4.78473392918547,0.00394044032277188,"Great Lakes"
"transect_locationwetland",-6.34668503427307,2.53852592406507,-2.50014584216253,0.02173372817765,6.34668503427307,NA,0.601747311244944,4.78473392918547,0.00394044032277188,"Great Lakes"
"std_bulk_density_g_cm3",-4.11444882642068,0.791643044675828,-5.1973535978018,8.20981322328953e-06,4.11444882642068,NA,0.683736641801297,12.9715306704304,9.34381385956928e-08,"Mid-Atlantic"
"std_percent_sand",0.608953320191729,0.759449529662735,0.801835140331391,0.427909652848541,0.608953320191729,NA,0.683736641801297,12.9715306704304,9.34381385956928e-08,"Mid-Atlantic"
"std_ph",-2.26833442945027,0.901861250819417,-2.51517007454228,0.0165021671103848,2.26833442945027,NA,0.683736641801297,12.9715306704304,9.34381385956928e-08,"Mid-Atlantic"
"std_K_meq_100g",1.86153196614777,0.919839525278156,2.0237573130866,0.0504662646716231,1.86153196614777,NA,0.683736641801297,12.9715306704304,9.34381385956928e-08,"Mid-Atlantic"
"transect_locationupland",1.77983208548054,1.65808937737576,1.07342348956934,0.290223924229254,1.77983208548054,NA,0.683736641801297,12.9715306704304,9.34381385956928e-08,"Mid-Atlantic"
"transect_locationwetland",-3.52889796398647,2.69109176770545,-1.31132576240437,0.198050273506389,3.52889796398647,NA,0.683736641801297,12.9715306704304,9.34381385956928e-08,"Mid-Atlantic"
